fileName,Date,numGens,notes
slp0.8_Rsk0.1_K1000_var0.2_dslm0.6_rn417,03/08/2015,500,
slp0.8_Rsk0.1_K1000_var0.2_dslm0.8_rn418,03/08/2015,500,
slp1.25_Rsk0.05_K100_var0.0_dslm0.6_rn419,03/08/2015,500,
slp1.25_Rsk0.05_K100_var0.0_dslm0.8_rn420,03/08/2015,500,
slp1.25_Rsk0.05_K100_var0.1_dslm0.6_rn421,03/08/2015,500,
slp1.25_Rsk0.05_K100_var0.1_dslm0.8_rn422,03/08/2015,500,
slp1.25_Rsk0.05_K100_var0.2_dslm0.6_rn423,03/08/2015,500,
slp1.25_Rsk0.05_K100_var0.2_dslm0.8_rn424,03/08/2015,500,
slp1.25_Rsk0.05_K1000_var0.0_dslm0.6_rn425,03/08/2015,500,
slp1.25_Rsk0.05_K1000_var0.0_dslm0.8_rn426,03/08/2015,500,
slp1.25_Rsk0.05_K1000_var0.1_dslm0.6_rn427,03/08/2015,500,
slp1.25_Rsk0.05_K1000_var0.1_dslm0.8_rn428,03/08/2015,500,
slp1.25_Rsk0.05_K1000_var0.2_dslm0.6_rn429,03/08/2015,500,
slp1.25_Rsk0.05_K1000_var0.2_dslm0.8_rn430,03/08/2015,500,
slp1.25_Rsk0.1_K100_var0.0_dslm0.6_rn431,03/08/2015,500,
slp1.25_Rsk0.1_K100_var0.0_dslm0.8_rn432,03/08/2015,500,
slp1.25_Rsk0.1_K100_var0.1_dslm0.6_rn433,03/08/2015,500,
slp1.25_Rsk0.1_K100_var0.1_dslm0.8_rn434,03/08/2015,500,
slp1.25_Rsk0.1_K100_var0.2_dslm0.6_rn435,03/08/2015,500,
slp1.25_Rsk0.1_K100_var0.2_dslm0.8_rn436,03/08/2015,500,
slp1.25_Rsk0.1_K1000_var0.0_dslm0.6_rn437,03/08/2015,500,
slp1.25_Rsk0.1_K1000_var0.0_dslm0.8_rn438,03/08/2015,500,
slp1.25_Rsk0.1_K1000_var0.1_dslm0.6_rn439,03/08/2015,500,
slp1.25_Rsk0.1_K1000_var0.1_dslm0.8_rn440,03/08/2015,500,
slp1.25_Rsk0.1_K1000_var0.2_dslm0.6_rn441,03/08/2015,500,
slp1.25_Rsk0.1_K1000_var0.2_dslm0.8_rn442,03/08/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.6_rn443,03/08/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.8_rn444,03/08/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.6_rn445,03/08/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.8_rn446,03/08/2015,500,
slp2.5_Rsk0.05_K100_var0.2_dslm0.6_rn447,03/08/2015,500,
slp2.5_Rsk0.05_K100_var0.2_dslm0.8_rn448,03/08/2015,500,
slp2.5_Rsk0.05_K1000_var0.0_dslm0.6_rn449,03/08/2015,500,
slp2.5_Rsk0.05_K1000_var0.0_dslm0.8_rn450,03/08/2015,500,
slp2.5_Rsk0.05_K1000_var0.1_dslm0.6_rn451,03/08/2015,500,
slp2.5_Rsk0.05_K1000_var0.1_dslm0.8_rn452,03/08/2015,500,
slp2.5_Rsk0.05_K1000_var0.2_dslm0.6_rn453,03/08/2015,500,
slp2.5_Rsk0.05_K1000_var0.2_dslm0.8_rn454,03/08/2015,500,
slp2.5_Rsk0.1_K100_var0.0_dslm0.6_rn455,03/08/2015,500,
slp2.5_Rsk0.1_K100_var0.0_dslm0.8_rn456,03/08/2015,500,
slp2.5_Rsk0.1_K100_var0.1_dslm0.6_rn457,03/08/2015,500,
slp2.5_Rsk0.1_K100_var0.1_dslm0.8_rn458,03/08/2015,500,
slp2.5_Rsk0.1_K100_var0.2_dslm0.6_rn459,03/08/2015,500,
slp2.5_Rsk0.1_K100_var0.2_dslm0.8_rn460,03/08/2015,500,
slp2.5_Rsk0.1_K1000_var0.0_dslm0.6_rn461,03/08/2015,500,
slp2.5_Rsk0.1_K1000_var0.0_dslm0.8_rn462,03/08/2015,500,
slp2.5_Rsk0.1_K1000_var0.1_dslm0.6_rn463,03/08/2015,500,
slp2.5_Rsk0.1_K1000_var0.1_dslm0.8_rn464,03/08/2015,500,
slp2.5_Rsk0.1_K1000_var0.2_dslm0.6_rn465,03/08/2015,500,
slp2.5_Rsk0.1_K1000_var0.2_dslm0.8_rn466,03/08/2015,500,
slp0.4_Rsk0.05_K100_var0.0_dslm0.6_rn1000,04/08/2015,500,
slp0.4_Rsk0.05_K100_var0.0_dslm0.8_rn1001,04/08/2015,500,
slp0.4_Rsk0.05_K100_var0.1_dslm0.6_rn1002,04/08/2015,500,
slp0.4_Rsk0.05_K100_var0.1_dslm0.8_rn1003,04/08/2015,500,
slp0.4_Rsk0.05_K100_var0.2_dslm0.6_rn1004,04/08/2015,500,
